time,open,high,low,close,Volume,BB 상단,BB 중단,BB 하단,MA90,MA120,EMA13,EMA28
1721741400,224.37,226.94,222.67,224.75,2167285,265.90394473864353,189.02204166666715,112.14013859469078,209.45716666666675,201.9134999999998,226.31683204327845,225.03957706784217
1721755800,224.71,225.28,224.32,225.01,1014757,266.61279772675164,189.1738750000005,111.73495227324933,209.84605555555564,202.37966666666645,226.13014175138153,225.03753727005994
1721827800,223.99,224.79,217.13,218.02,3222625,267.09309237301693,189.29904166666714,111.50499096031737,210.158388888889,202.78083333333313,224.97155007261273,224.5535691824696
1721842200,218.015,218.86,217.69,218.52,2237045,267.5868713154303,189.4338750000005,111.28087868457072,210.47877777777785,203.18633333333312,224.0499000622395,224.13746096298894
1721914200,218.93,220.85,214.64,219.42,3577065,268.1024213414868,189.58000000000047,111.05757865851415,210.80644444444454,203.60416666666643,223.38848576763385,223.8121188276104
1721928600,219.45,220.48,217.33,217.5,1559383,268.5569643884587,189.71233333333382,110.86770227820895,211.09566666666674,203.95941666666644,222.54727351511474,223.37680028777518
1722000600,218.7,219.485,216.02,219.31,2472568,269.05639481223056,189.84754166666715,110.63868852110372,211.40922222222227,204.34124999999977,222.08480587009834,223.0963313024114
1722015000,219.31,219.33,217.13,218.11,1302400,269.5175818374467,189.98116666666718,110.44475149588764,211.69533333333342,204.71474999999975,221.5169764600843,222.7524463850037
1722259800,216.97,219.295,215.75,218.7,2078400,269.99037436440415,190.11808333333383,110.2457923022635,211.98777777777786,205.11974999999978,221.1145512515008,222.47296732396896
1722274200,218.71,219.11,217.97,218.24,1035454,270.44089952934075,190.24179166666715,110.04268380399358,212.28633333333343,205.51241666666644,220.70390107271498,222.18103854300557
1722346200,219.19,220.33,216.12,217.25,2307145,270.8624715038369,190.36495833333385,109.86744516283076,212.5783333333334,205.91191666666646,220.2104866337557,221.84096691935002
1722360600,217.25,219.91,216.96,218.78,1373214,271.3182896854225,190.48958333333383,109.66087698124515,212.9131111111112,206.29591666666644,220.00613140036202,221.6298657524983
1722432600,221.56,223.81,220.63,222.68,2432439,271.8811278253222,190.62870833333383,109.37628884134543,213.31055555555565,206.7092499999998,220.38811262888174,221.70228880405014
1722447000,222.595,223.36,221.3,221.96,2075576,272.41692056073146,190.76554166666716,109.1141627726029,213.6610000000001,207.01416666666643,220.61266796761294,221.72006198997772
1722519000,224.37,224.48,217.63,218.12,2994178,272.8393040823706,190.88516666666717,108.93102925096376,213.97300000000007,207.3034999999998,220.25657254366823,221.47178185273788
1722533400,218.17,219.11,217.03,218.37,2214097,273.2671936260413,191.01079166666716,108.75438970729302,214.27855555555564,207.61816666666647,219.98706218028704,221.25786586289388
